"id","language","theme","year","title","publisher","url","evidence","cash_etf_use"
"S017","EN","crowding","2025","Addressing Market Dysfunction and Liquidity Stresses in NBFIs","IMF","https://www.imf.org/en/-/media/files/publications/gfs-notes/2025/english/gfsnea2025004.pdf","Leverage, liquidity mismatch and concentrated ownership are joint amplification channels.","monitor"
"S018","EN","crowding","2024","The Impact of Derivatives Collateralization on Liquidity Risk","IMF","https://www.imf.org/-/media/files/publications/wp/2024/english/wpiea2024026-print-pdf.pdf","Margin calls can exhaust fund liquidity buffers and force procyclical asset sales.","context"
"S019","EN","crowding","2015","Shifting Tides: Market Liquidity and Market-Making in Fixed Income Instruments","BIS","https://www.bis.org/publ/qtrpdf/r_qt1503i.htm","Liquidity can vanish when increasingly concentrated asset managers head for exits together.","context"
"S020","EN","crowding","2018","The Financial Sector: Post-Crisis Adjustment and Pressure Points","BIS","https://www.bis.org/publ/arpdf/ar2018e3.htm","Passive concentration, common providers and correlated fund flows can raise crowded-trade risk.","context"
"S021","EN","crowding","2025","Sustaining Stability amid Uncertainty and Fragmentation","BIS","https://www.bis.org/publ/arpdf/ar2025e1.htm","Leveraged NBFIs provide procyclical liquidity that can evaporate under stress.","context"
"S022","EN","crowding","2025","Crowded Trades and Consequences","Macrosynergy","https://macrosynergy.com/research/crowded-trades-and-consequences/","Practical synthesis: active institutional positioning relative to volume maps exit congestion and downside skew.","monitor"
"S023","CN","crowding","2026","量化行业轮动的“崎岖之路”","华泰证券金融工程 / 公开研报镜像","http://ftp.microbell.com/data/ed6f88d555977bd8c9ba1bce8b4e571b.html","四个量价指标以1250日滚动95%分位触发；3至4分视为高拥挤，20日内两次高拥挤用于规避。网页正文只明确展示流通市值换手率参数族，其余表格项不臆测。","monitor"
"S024","CN","crowding","2024","基于ETF资金流构建行业轮动策略","华泰证券金融工程 / 公开研报镜像","https://www.nxny.com/report/view_5777065.html","极端ETF净流出在其样本中呈短期反向信号；同时警告申赎、做市和再平衡使流量不等同观点。","monitor"
"S025","EN","low_vol","2007","The Volatility Effect: Lower Risk without Lower Return","Journal of Portfolio Management","https://doi.org/10.3905/jpm.2007.698039","Global low-volatility stocks delivered higher risk-adjusted returns than high-volatility stocks.","candidate"
"S026","EN","low_vol","2011","Benchmarks as Limits to Arbitrage: Understanding the Low-Volatility Anomaly","Financial Analysts Journal","https://doi.org/10.2469/faj.v67.n1.4","Benchmark-relative mandates and leverage constraints inhibit arbitrage of low beta.","candidate"
"S027","EN","low_vol","2014","Betting against Beta","Journal of Financial Economics","https://doi.org/10.1016/j.jfineco.2013.10.005","Leverage-constrained investors overpay high-beta assets, supporting defensive low-beta exposure.","candidate"
"S028","EN","low_vol","2006","The Cross-Section of Volatility and Expected Returns","Journal of Finance","https://doi.org/10.1111/j.1540-6261.2006.00836.x","High idiosyncratic volatility predicts abnormally low future returns.","candidate"
"S029","EN","low_vol","2009","High Idiosyncratic Volatility and Low Returns: International Evidence","Journal of Financial Economics","https://doi.org/10.1016/j.jfineco.2007.12.005","The negative idiosyncratic-volatility relation extends internationally.","candidate"
"S030","EN","low_vol","2008","Idiosyncratic Volatility and the Cross Section of Expected Returns","Journal of Financial and Quantitative Analysis","https://doi.org/10.1017/S002210900000274X","Tests robustness and portfolio-construction sensitivity of the idiosyncratic-volatility effect.","context"
"S031","EN","low_vol","2009","Idiosyncratic Risk and the Cross-Section of Expected Stock Returns","Journal of Financial Economics","https://doi.org/10.1016/j.jfineco.2008.02.003","Expected rather than lagged idiosyncratic volatility changes inference on the anomaly.","context"
"S032","EN","low_vol","2006","Minimum-Variance Portfolios in the U.S. Equity Market","Journal of Portfolio Management","https://doi.org/10.3905/jpm.2006.661366","Constrained minimum-variance construction lowered risk without return forecasts.","candidate"
"S033","EN","low_vol","2013","The Volatility Effect in Emerging Markets","Emerging Markets Review","https://doi.org/10.1016/j.ememar.2013.02.004","Low-volatility effects persist in emerging equities with investability controls.","candidate"
"S034","EN","low_vol","2013","The High Returns to Low Volatility Stocks Are Actually a Premium on High Quality Firms","Review of Financial Economics","https://doi.org/10.1016/j.rfe.2013.06.001","Low volatility and quality share a strong common component.","candidate"
"S035","EN","low_vol","2014","The Low-Volatility Anomaly: Systematic Risk vs. Mispricing","Financial Analysts Journal / AQR","https://www.aqr.com/Insights/Research/Journal-Article/The-Low-Volatility-Anomaly-Market-Evidence-on-Systemic-Risk-vs-Mispricing","Evidence favors characteristic mispricing over compensation for a hidden risk factor.","context"
"S036","EN","low_vol","2018","The Limits to Arbitrage and the Low-Volatility Anomaly","Financial Analysts Journal / AQR","https://www.aqr.com/Insights/Research/Journal-Article/The-Limits-to-Arbitrage-and-the-Low-Volatility-Anomaly","Turnover, low-price stocks and transaction costs weaken naïve anomaly extraction.","monitor"
"S037","EN","low_vol","2026","Low Volatility Anomaly","Robeco","https://www.robeco.com/en-us/glossary/quantitative-investing/low-volatility-anomaly","Practitioner overview emphasizes downside participation and long-horizon risk-adjusted returns.","context"
"S038","EN","low_vol","2018","MSCI Minimum Volatility Indexes Methodology","MSCI","https://www.msci.com/indexes/documents/methodology/2_MSCI_Minimum_Volatility_Indexes_Methodology_20180521.pdf","Optimization uses a covariance model plus country, sector and constituent constraints.","candidate"
"S039","EN","low_vol","2026","S&P Low Volatility Index Family","S&P Dow Jones Indices","https://www.spglobal.com/spdji/en/index-family/dividends-factors/single-factor/low-volatility/","Official family and methodology gateway for inverse-volatility defensive indexes.","candidate"
"S040","EN","low_vol","2026","FTSE Global Minimum Variance Index Series Ground Rules","FTSE Russell","https://www.lseg.com/content/dam/ftse-russell/en_us/documents/ground-rules/ftse-global-minimum-variance-index-series-ground-rules.pdf","Transparent constrained optimization targets portfolio variance, not expected return.","candidate"
"S041","EN","low_vol","2021","The Volatility Effect in China","Journal of Asset Management","https://doi.org/10.1057/s41260-021-00218-0","A-share low volatility is robust, distinct from beta and investable among liquid stocks.","candidate"
"S042","EN","low_vol","2021","The Low Volatility Effect in China","Robeco","https://www.robeco.com/en-us/insights/2021/05/the-low-volatility-effect-in-china","China evidence links low volatility partly to retail lottery preferences.","context"
"S043","EN","low_vol","2021","Anomalies in the China A-Share Market","Pacific-Basin Finance Journal","https://www.sciencedirect.com/science/article/pii/S0927538X21001141","Risk anomalies survive in A-shares; quality and conventional momentum evidence is weaker.","context"
"S044","EN","low_vol","2025","Calm Stocks, Wild Hopes","NYU Shanghai","https://cdn.shanghai.nyu.edu/sites/default/files/honorsthesis2025_zijin_su.pdf","A-share low-IVOL remains after lottery controls and is stronger in speculative cohorts.","context"
"S045","EN","quality","2013","The Other Side of Value: The Gross Profitability Premium","Journal of Financial Economics","https://doi.org/10.1016/j.jfineco.2013.01.003","Gross profitability predicts returns and diversifies value.","candidate"
"S046","EN","quality","2019","Quality Minus Junk","Review of Accounting Studies / SSRN","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2312432","Profitability, growth, safety and payout form a globally positive quality spread.","candidate"
"S047","EN","quality","2015","A Five-Factor Asset Pricing Model","Journal of Financial Economics","https://doi.org/10.1016/j.jfineco.2014.10.010","Profitability and investment add explanatory power to size and value factors.","context"
"S048","EN","quality","2000","Value Investing: The Use of Historical Financial Statement Information","Journal of Accounting Research","https://www.anderson.ucla.edu/documents/areas/prg/asam/2019/F-Score.pdf","The nine-signal Piotroski F-score separates financially strong from weak value firms.","candidate"
"S049","EN","quality","1996","Do Stock Prices Fully Reflect Information in Accruals and Cash Flows?","Accounting Review","https://www.jstor.org/stable/248290","Accrual-heavy earnings are less persistent; earnings quality matters.","candidate"
"S050","EN","quality","2015","Digesting Anomalies: An Investment Approach","Review of Financial Studies","https://doi.org/10.1093/rfs/hhu068","The q-factor model organizes profitability and investment effects.","context"
"S051","EN","quality","2015","Deflating Profitability","Journal of Financial Economics","https://ideas.repec.org/a/eee/jfinec/v117y2015i2p225-248.html","Operating profitability can dominate gross profitability when numerator and deflator are aligned.","candidate"
"S052","EN","quality","2016","Accruals, Cash Flows, and Operating Profitability in the Cross Section of Stock Returns","Journal of Financial Economics","https://doi.org/10.1016/j.jfineco.2016.03.002","Cash-based operating profitability improves the quality signal.","candidate"
"S053","EN","quality","2014","Quality Control","CFA Institute","https://rpc.cfainstitute.org/research/cfa-magazine/2014/quality-control","Explains practical differences among F-score, gross profitability and QMJ definitions.","context"
"S054","EN","quality","2014","The Quality Dimension of Value Investing","Robert Novy-Marx / Ivey","https://www.ivey.uwo.ca/media/3775548/novy-marx.pdf","Quality can improve value without simply replacing valuation discipline.","candidate"
"S055","EN","quality","2014","MSCI Quality Indexes Methodology","MSCI","https://www.msci.com/eqb/methodology/meth_docs/MSCI_Quality_Indexes_Meth_Aug14.pdf","ROE, debt-to-equity and earnings variability define the official quality score.","candidate"
"S056","EN","quality","2024","S&P Quality Indices Methodology","S&P Dow Jones Indices","https://www.spglobal.com/spdji/pt/documents/methodologies/methodology-sp-quality-indices.pdf","S&P selects on ROE, accruals and leverage.","candidate"
"S057","EN","quality","2026","FTSE Global Factor Index Series Ground Rules","FTSE Russell","https://www.lseg.com/content/dam/ftse-russell/en_us/documents/ground-rules/ftse-global-factor-index-series-ground-rules.pdf","Official factor framework constrains quality tilts for capacity and diversification.","candidate"
"S058","CN","quality","2026","中证500质量成长指数编制方案","中证指数有限公司","https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/930939_Index_Methodology_cn.pdf","以盈利、成长、盈利质量和财务杠杆综合评分，并限制个股及行业权重。","candidate"
"S059","CN","quality","2026","沪深300质量成长低波动指数编制方案","中证指数有限公司","https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/931375_Index_Methodology_cn.pdf","先做质量筛选再选一年波动率最低50只，直接对应质量加低波组合。","candidate"
"S060","CN","quality","2026","中证全指红利质量指数编制方案","中证指数有限公司","https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/932315_Index_Methodology_cn.pdf","稳定分红、ROE、ROE变化、经营现金流和杠杆共同约束质量。","candidate"
"S061","CN","quality","2024","中证800红利低波动指数编制方案","中证指数有限公司","https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/931848_Index_Methodology_cn.pdf","连续分红、盈利稳定和低波动三重筛选，提示防御因子不可只看价格波动。","candidate"
"S062","EN","gold","2010","Is Gold a Hedge or a Safe Haven?","Financial Review","https://ideas.repec.org/a/bla/finrev/v45y2010i2p217-229.html","Gold hedges equities on average and is a short-lived safe haven in extreme equity losses.","candidate"
"S063","EN","gold","2010","Is Gold a Safe Haven? International Evidence","Journal of Banking and Finance","https://doi.org/10.1016/j.jbankfin.2009.12.008","Safe-haven behavior varies by country and crisis state.","candidate"
"S064","EN","gold","2016","Why Is Gold a Safe Haven?","Journal of Behavioral and Experimental Finance","https://doi.org/10.1016/j.jbef.2016.03.002","Explores behavior, trust and market structure behind safe-haven demand.","context"
"S065","EN","gold","2020","Is Gold a Safe Haven? The International Evidence Revisited","Acta Oeconomica","https://doi.org/10.1556/032.2020.00035","Broader emerging-market evidence is mixed rather than universal.","monitor"
"S066","EN","gold","2013","The Golden Dilemma","NBER","https://www.nber.org/papers/w18706","Gold's inflation-hedge narrative is weaker than popular belief and valuation is regime-sensitive.","monitor"
"S067","EN","gold","2015","The Financial Economics of Gold: A Survey","International Review of Financial Analysis","https://doi.org/10.1016/j.irfa.2015.07.005","Survey separates return drivers, diversification, hedging and market microstructure findings.","context"
"S068","EN","gold","2013","Is Gold the Best Hedge and a Safe Haven under Changing Stock Market Volatility?","Review of Financial Economics","https://doi.org/10.1016/j.rfe.2013.03.001","Gold's protection is state-dependent and must be compared with other havens.","monitor"
"S069","EN","gold","2013","Is Gold a Safe Haven or a Hedge for the US Dollar?","Journal of Banking and Finance","https://doi.org/10.1016/j.jbankfin.2013.03.020","Dependence is nonlinear; gold's hedge role changes across return quantiles.","monitor"
"S070","EN","gold","2015","Does Gold Act as a Hedge or a Safe Haven for Stocks?","Economic Modelling","https://doi.org/10.1016/j.econmod.2014.10.044","Gold's safe-haven property is country- and regime-specific.","monitor"
"S071","EN","gold","2015","What Precious Metals Act as Safe Havens, and When?","Applied Economics Letters","https://doi.org/10.1080/13504851.2014.920471","Safe-haven status depends on metal, market and horizon.","monitor"
"S072","EN","gold","2004","Facts and Fantasies about Commodity Futures","NBER","https://www.nber.org/papers/w10595","Commodity returns and inflation sensitivity differ from equities and bonds; spot proxies need care.","context"
"S073","EN","gold","2013","Hedges and Safe Havens: An Examination of Stocks, Bonds, Gold, Oil and Exchange Rates","International Review of Financial Analysis","https://doi.org/10.1016/j.irfa.2012.12.001","Cross-asset safe-haven relationships vary over time.","context"
"S074","EN","gold","2026","Gold as a Strategic Asset: 2026 Edition","World Gold Council","https://www.gold.org/goldhub/research/relevance-of-gold-as-a-strategic-asset","Gold is liquid, has no credit liability and can diversify stocks and bonds; source is industry-sponsored.","candidate"
"S075","EN","gold","2026","Portfolio Impact: Risk/Reward Profile","World Gold Council","https://www.gold.org/goldhub/research/relevance-of-gold-as-a-strategic-asset/portfolio-impact","Portfolio simulations support small strategic allocations but depend on sample and optimizer assumptions.","candidate"
"S076","EN","gold","2025","Gold Demand Trends: Full Year 2024","World Gold Council","https://www.gold.org/goldhub/research/gold-demand-trends/gold-demand-trends-full-year-2024","2024 total demand hit a record; ETF holdings stabilized and central-bank buying exceeded 1000 tonnes.","monitor"
"S077","EN","gold","2024","Central Bank Gold Reserves Survey 2024","World Gold Council","https://www.gold.org/goldhub/research/2024-central-bank-gold-reserves-survey","Reserve managers cited strategic allocation, crisis and inflation concerns.","monitor"
"S078","EN","gold","2025","Gold ETF Flows: December 2024","World Gold Council","https://www.gold.org/goldhub/research/gold-etfs-holdings-and-flows/2025/01","2024 ended with the first annual global gold-ETF inflow in four years by value.","monitor"
"S079","EN","gold","2026","Gold Demand Trends: Full Year 2025","World Gold Council","https://www.gold.org/goldhub/research/gold-demand-trends/gold-demand-trends-full-year-2025","2025 ETF holdings rose sharply amid record prices and safe-haven demand.","monitor"
"S080","EN","gold","2026","Gold ETF Flows: December 2025","World Gold Council","https://www.gold.org/goldhub/research/gold-etfs-holdings-and-flows/2026/01","Records 2025's exceptionally large global ETF inflows and AUM growth.","monitor"
"S081","EN","gold","2026","Gold ETF Flows: June 2026","World Gold Council","https://www.gold.org/goldhub/research/gold-etfs-holdings-and-flows/2026/07","H1 remained net positive despite June outflows; Asia led inflows.","monitor"
"S082","EN","gold","2026","Gold ETF Flows: July 2026","World Gold Council","https://www.gold.org/goldhub/research/gold-etfs-holdings-and-flows/2026/08","July reversed two months of outflows; regional breadth and lower liquidity are both visible.","monitor"
"S083","EN","gold","2026","Gold ETFs: Holdings and Flows Data","World Gold Council","https://www.gold.org/goldhub/data/gold-etfs-holdings-and-flows","Weekly and monthly fund-level holdings provide the preferred crowding-flow input.","monitor"
"S084","EN","gold","2026","LBMA Gold Price","London Bullion Market Association","https://www.lbma.org.uk/prices-and-data/lbma-gold-price","Defines the audited global benchmark and warns that commercial use requires licensing.","context"
"S085","CN","gold","2026","黄金ETF产品说明","上海黄金交易所","https://sge.com.cn/cpfw/hjetf","中国黄金ETF主要跟踪Au99.99或上海金定盘价；可核对底层标的而非只看场内代码。","candidate"
"S086","CN","gold","2026","黄金ETF申购赎回数据专栏","上海黄金交易所","https://sge.com.cn/sjzx/goldEtf","提供2024年后申赎清单，是国内黄金ETF份额与实物映射的主数据入口。","monitor"
"S087","CN","gold","2025","官方储备资产（2024年）","国家外汇管理局","http://m.safe.gov.cn/big5/big5/www.safe.gov.cn:443/safe/2020/0207/26908.html","官方黄金储备月度数据用于区分央行需求与ETF资金流。","monitor"
"S088","CN","gold","2026","2025年国内黄金ETF增仓量同比增长149.91%","证券时报 / 中国黄金协会数据","https://www.stcn.com/article/detail/3631234.html","国内黄金ETF 2025年增仓133.118吨、年末持仓247.852吨，显示本地拥挤监控必要。","monitor"
"S089","EN","gold","2026","SPDR Gold Shares","World Gold Trust Services","https://www.spdrgoldshares.com/usa/gld/","Primary product page provides GLD objective, benchmark, holdings and trust structure.","monitor"
"S090","EN","gold","2026","iShares Gold Trust","BlackRock","https://www.ishares.com/us/products/239561/ishares-gold-trust-fund","Primary page provides IAU holdings and physical-gold trust documents.","monitor"
"S091","EN","momentum","1993","Returns to Buying Winners and Selling Losers","Journal of Finance","https://doi.org/10.1111/j.1540-6261.1993.tb04702.x","Establishes 3-to-12-month cross-sectional momentum in US equities.","candidate"
"S092","EN","momentum","2001","Profitability of Momentum Strategies: Alternative Explanations","Journal of Finance","https://doi.org/10.1111/0022-1082.00342","Momentum persists out of sample but reverses over longer horizons.","monitor"
"S093","EN","momentum","1997","On Persistence in Mutual Fund Performance","Journal of Finance","https://doi.org/10.1111/j.1540-6261.1997.tb03808.x","Introduces the four-factor model's momentum factor and shows expenses explain much fund persistence.","context"
"S094","EN","momentum","1998","International Momentum Strategies","Journal of Finance","https://doi.org/10.1111/0022-1082.95722","Cross-sectional momentum extends to European equities.","candidate"
"S095","EN","momentum","1999","Local Return Factors and Turnover in Emerging Stock Markets","Journal of Finance","https://doi.org/10.1111/0022-1082.00151","Emerging-market momentum is present but tied to local market structure and turnover.","context"
"S096","EN","momentum","2003","Momentum Investing and Business Cycle Risk","Journal of Finance","https://doi.org/10.1046/j.1540-6261.2003.00614.x","Global momentum is difficult to explain with standard macro risk.","context"
"S097","EN","momentum","1999","Do Industries Explain Momentum?","Journal of Finance","https://doi.org/10.1111/0022-1082.00146","Industry momentum explains an important share of stock momentum.","candidate"
"S098","EN","momentum","2000","Price Momentum and Trading Volume","Journal of Finance","https://doi.org/10.1111/0022-1082.00225","Turnover conditions momentum continuation and later reversal.","monitor"
"S099","EN","momentum","2004","The 52-Week High and Momentum Investing","Journal of Finance","https://doi.org/10.1111/j.1540-6261.2004.00695.x","Anchoring to prior highs provides a behavioral momentum signal.","context"
"S100","EN","momentum","2010","Individualism and Momentum around the World","Journal of Finance","https://doi.org/10.1111/j.1540-6261.2010.01599.x","Momentum strength varies with culture and information diffusion.","context"
"S101","EN","momentum","2013","Value and Momentum Everywhere","Journal of Finance","https://doi.org/10.1111/jofi.12021","Value and momentum appear across equities, currencies, bonds and commodities and diversify each other.","candidate"
"S102","EN","momentum","2012","Time Series Momentum","Journal of Financial Economics","https://doi.org/10.1016/j.jfineco.2011.11.003","An asset's own 12-month excess return predicts returns across 58 liquid futures and forwards.","candidate"
"S103","EN","momentum","2017","Risk Premia Harvesting through Dual Momentum","SSRN","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2042750","Combines relative ranking with an absolute trend filter to reduce drawdown.","candidate"
"S104","EN","momentum","2017","A Century of Evidence on Trend-Following Investing","Journal of Portfolio Management / SSRN","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2993026","Trend following was positive across decades and many 60/40 crises since 1880.","candidate"
"S105","EN","momentum","2021","Momentum Strategies in Futures Markets and Trend-Following Funds","SSRN","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1968996","Time-series-momentum benchmarks explain CTA returns; capacity tests are central.","context"
"S106","EN","momentum","2017","Two Centuries of Multi-Asset Momentum","SSRN","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2607730","Long-run evidence supports momentum within and across asset classes, with rising strategy correlation.","candidate"
"S107","EN","momentum","2007","A Quantitative Approach to Tactical Asset Allocation","Journal of Wealth Management","https://doi.org/10.3905/jwm.2007.674809","Simple monthly moving-average filters lower drawdowns across public asset classes.","candidate"
"S108","EN","momentum","2015","Momentum Has Its Moments","Journal of Financial Economics","https://doi.org/10.1016/j.jfineco.2014.11.010","Volatility scaling materially reduces momentum crash risk.","monitor"
"S109","EN","momentum","2016","Momentum Crashes","Journal of Financial Economics","https://doi.org/10.1016/j.jfineco.2015.12.002","Momentum crashes cluster after market declines, high volatility and sharp rebounds.","monitor"
"S110","EN","momentum","2020","Trends Everywhere","AQR","https://www.aqr.com/Insights/Research/Journal-Article/Trends-Everywhere","Out-of-sample trend evidence covers emerging assets, credit, volatility and equity factors.","candidate"
"S111","EN","momentum","2013","Demystifying Managed Futures","AQR","https://www.aqr.com/Insights/Research/Journal-Article/Demystifying-Managed-Futures","Simple multi-horizon trend signals explain much managed-futures performance.","context"
"S112","EN","momentum","2016","Which Trend Is Your Friend?","Financial Analysts Journal / SSRN","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2603731","Time-series momentum and moving-average crossovers are closely related linear filters.","context"
"S113","EN","momentum","2016","Time Series Momentum and Volatility Scaling","Journal of Financial Markets","https://doi.org/10.1016/j.finmar.2016.05.003","Challenges TSMOM: much reported alpha may come from volatility scaling rather than the sign signal.","monitor"
"S114","EN","momentum","2020","Trend Following with Momentum versus Moving Averages","Quantitative Finance","https://doi.org/10.1080/14697688.2020.1716057","Moving-average rules may be more robust than raw momentum under uncertain dynamics.","context"
"S115","EN","momentum","2025","How Do Factor Premia Vary over Time? A Century of Evidence","AQR","https://www.aqr.com/Insights/Research/Journal-Article/How-Do-Factor-Premia-Vary-Over-Time-A-Century-of-Evidence","Out-of-sample premia fall about 30%; timing mostly fails after lags and costs.","monitor"
"S116","EN","china_unwind","2024","China's Quant Funds Conform as Regulators Crack Down after Crash","Reuters","https://www.reuters.com/world/china/chinas-quant-funds-conform-regulators-crack-down-after-crash-2024-03-15/","Documents the February 2024 quant quake, small-cap stress and rapid risk-model changes.","monitor"
"S117","EN","china_unwind","2024","China's Quant Funds Suffer Deep Losses amid Crackdown","Reuters","https://www.reuters.com/business/finance/chinas-quant-funds-suffer-deep-losses-amid-crackdown-2024-07-24/","Reports 2024 first-half quant losses and continuing short-sale/HFT restrictions.","monitor"
"S118","EN","china_unwind","2024","China Announces More Short-Selling Curbs","Reuters","https://www.reuters.com/markets/asia/chinese-regulator-suspend-securities-relending-curb-short-selling-2024-07-10/","Securities relending suspension changed hedging supply and basis economics.","monitor"
"S119","EN","china_unwind","2024","China Plans Higher Transaction Fees for High-Frequency Trading","Reuters","https://www.reuters.com/markets/asia/china-plans-higher-transaction-fees-high-frequency-trading-2024-06-07/","Draft rules define HFT thresholds and permit traffic and cancellation fees.","monitor"
"S120","CN","china_unwind","2024","证监会新闻发言人就私募基金DMA业务有关情况答记者问","中国证监会","http://www.csrc.gov.cn/csrc/c100028/c7465086/content.shtml","官方确认DMA市场中性产品在波动中回撤并于春节后降杠杆、降规模。","monitor"
"S121","CN","china_unwind","2024","证券市场程序化交易管理规定（试行）","中国证监会","http://www.csrc.gov.cn/csrc/c100028/c7480577/content.shtml","建立先报告后交易、实时监控、高频差异化监管和内外资一致原则。","context"
"S122","CN","china_unwind","2024","关于对宁波灵均实施公开谴责纪律处分的决定","上海证券交易所","https://star.sse.com.cn/regulation/trading/disposition/c/c_20240321_5736908.shtml","记录一分钟内集中卖出11.95亿元及其对指数的冲击。","monitor"
"S123","CN","china_unwind","2024","中金所对上海维万及其实控人实施纪律处分","中国金融期货交易所","http://www.cffex.com.cn/cn/jysdt/20240228/37020.html","高频方式规避股指期货交易限额，处罚揭示期货侧监管与操作风险。","reject"
"S124","CN","china_unwind","2025","上海证券交易所程序化交易管理实施细则","上海证券交易所","http://www.sse.com.cn/lawandrules/sselawsrules2025/trade/universal/c/c_20250612_10781696.shtml","2025年7月生效，明确报告、系统、高频及异常交易管理。","context"
"S125","CN","china_unwind","2025","深圳证券交易所程序化交易管理实施细则","深圳证券交易所","https://www.szse.cn/lawrules/rule/trade/current/t20250403_612770.html","与上交所形成一致的程序化交易监管框架。","context"
"S126","CN","china_unwind","2025","三大交易所程序化交易管理细则7月7日起实施","新华网","http://www.news.cn/money/20250407/3142c6f5fd1d4b1ebd9eb91910befc5e/c.html","解释300笔每秒或20000笔每日的HFT认定与四类异常行为。","context"
"S127","EN","china_unwind","2024","China's Recent Liquidity Crisis: Another Quant Quake Tale","Sowell Management","https://www.sowellmanagement.com/commentary/chinas-recent-liquidity-crisis-another-quant-quake-tale/","Practitioner reconstruction links snowball hedging, microcaps, DMA leverage and neutral-fund liquidation.","context"
