survey_id,source_file,source_id,language,theme,type,year,title,url,normalized_url,publisher_or_venue,relevance,cash_etf_use
LIT011,lit_cn_sources.csv,11,CN,,broker,2022,招商证券：行业轮动策略月报：“预期共振”七月推荐,https://www.fhyanbao.com/rpview/798068,https://fhyanbao.com/rpview/798068,烽火研报,景气预期共振框架月度行业推荐,
LIT012,lit_cn_sources.csv,12,CN,,broker,2024,招商证券：预期共振自适应行业轮动（十二月）,https://www.hibor.com.cn/repinfodetail_3762297.html,https://hibor.com.cn/repinfodetail_3762297.html,慧博投研,景气度+量价+分析师预期12指标自适应加权,
LIT013,lit_cn_sources.csv,13,CN,,broker,2024,招商证券：预期共振自适应行业轮动（十月）,http://m.hibor.com.cn/wap_detail.aspx?id=d5ce1b58f2a1c30bdf7417e1506bd08a,https://m.hibor.com.cn/wap_detail.aspx?id=d5ce1b58f2a1c30bdf7417e1506bd08a,慧博投研,同系列月度行业组合跟踪,
LIT014,lit_cn_sources.csv,14,CN,,broker,2024,招商证券：预期共振自适应行业轮动（十一月）,https://www.nxny.com/report/view_5796247.html,https://nxny.com/report/view_5796247.html,nxny研报库,任瞳/许继宏团队月度行业组合,
LIT015,lit_cn_sources.csv,15,CN,,broker,2025,招商证券：预期共振自适应行业轮动（三月）,https://wap.hibor.com.cn/repinfodetail_3948994.html,https://wap.hibor.com.cn/repinfodetail_3948994.html,慧博投研,同系列月度行业组合跟踪,
LIT016,lit_cn_sources.csv,16,CN,,broker,2026,国泰海通：风格及行业观点月报（2026.06）,https://wap.hibor.com.cn/repinfodetail_5176595.html,https://wap.hibor.com.cn/repinfodetail_5176595.html,慧博投研,双驱轮动模型给出小盘成长信号,
LIT017,lit_cn_sources.csv,17,CN,,broker,2026,国泰海通：ETF配置系列五：四维度行业轮动策略,https://www.fxbaogao.com/detail/5294764,https://fxbaogao.com/detail/5294764,发现报告,四维度行业打分IC 12.54%；收益弹性/流动性/相关性三种ETF映射模式,
LIT018,lit_cn_sources.csv,18,CN,,broker,2026,国泰海通：ETF配置系列四：多样化的风格轮动ETF配置策略,https://news.qq.com/rain/a/20260309A087GL00,https://news.qq.com/rain/a/20260309a087gl00,腾讯新闻转载,红利/成长风格轮动 美债利率因子对风格切换解释力最强,
LIT019,lit_cn_sources.csv,19,CN,,broker,2026,国泰海通：ETF配置系列六：四象限月度行业轮动策略,https://www.fhyanbao.com/rpview/1858811,https://fhyanbao.com/rpview/1858811,烽火研报,四象限（景气×拥挤）月度行业轮动并映射ETF,
LIT020,lit_cn_sources.csv,20,CN,,broker,2024,广发金工：2025年度量化策略：企稳向上关注成长风格,http://yanbao.us/wechatreport/236762.html,https://yanbao.us/wechatreport/236762.html,研报网转载,年度量化观点与风格判断,
LIT021,lit_cn_sources.csv,21,CN,,broker,2025,广发金工：均线情绪持续修复：A股量化择时,https://finance.sina.com.cn/stock/stockzmt/2025-07-14/doc-inffkshv6332831.shtml,https://finance.sina.com.cn/stock/stockzmt/2025-07-14/doc-inffkshv6332831.shtml,新浪财经转载,CNN识图K线形态映射行业配置,
LIT022,lit_cn_sources.csv,22,CN,,broker,2024,广发金工：价值成长风格分化：A股量化择时,http://yanbao.us/wechatreport/225227.html,https://yanbao.us/wechatreport/225227.html,研报网转载,均线情绪+风格分化度择时周报,
LIT023,lit_cn_sources.csv,23,CN,,broker,2024,广发金工：市场缩量调整：A股量化择时,http://yanbao.us/wechatreport/223162.html,https://yanbao.us/wechatreport/223162.html,研报网转载,缩量环境下的择时信号解读,
LIT024,lit_cn_sources.csv,24,CN,,broker,2026,广发金工：AI识图关注现金流物流交运,https://finance.sina.com.cn/stock/stockzmt/2026-08-17/doc-ininqpeu0366847.shtml,https://finance.sina.com.cn/stock/stockzmt/2026-08-17/doc-ininqpeu0366847.shtml,新浪财经转载,AI识别K线图形态输出行业观点,
LIT025,lit_cn_sources.csv,25,CN,,broker,2024,广发证券：基于多期限残差的因子选股研究,https://www.hibor.com.cn/repinfodetail_3409812.html,https://hibor.com.cn/repinfodetail_3409812.html,慧博投研,多期限残差合成因子周频RankIC约-4.14%,
LIT026,lit_cn_sources.csv,26,CN,,broker,2019,光大证券：再论动量因子（多因子系列）,https://bigquant.com/wiki/doc/3qJPbvujfH,https://bigquant.com/wiki/doc/3qjpbvujfh,BigQuant转载,Blitz残差动量在A股复现 IC波动率由10%降至8%,
LIT027,lit_cn_sources.csv,27,CN,,broker,2026,华泰证券：国防军工行业触发高拥挤（金融工程点评）,https://www.fhyanbao.com/rpview/1813597,https://fhyanbao.com/rpview/1813597,烽火研报,2026-01-11拥挤度模型实盘预警军工行业阶段性高点的案例,
LIT028,lit_cn_sources.csv,28,CN,,broker,2023,财信证券：金工专题行业轮动系列1：换手率的量能提示,https://www.fhyanbao.com/rpview/879764,https://fhyanbao.com/rpview/879764,烽火研报,换手率斜率捕捉量能转折提示行情启动,
LIT029,lit_cn_sources.csv,29,CN,,broker,2026,东方证券：量化研究参考系列之一：QuantaAlpha用大模型做量化因子挖掘,https://www.fxbaogao.com/detail/5339368,https://fxbaogao.com/detail/5339368,发现报告,复现QuantaAlpha并修正数据泄露 修正后ICIR明显下降,
LIT030,lit_cn_sources.csv,30,CN,,broker,2017,光大证券：技术择时系列之一：基于阻力支撑相对强度（RSRS）的市场择时,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/strategy/rptid/3745408/index.phtml,https://vip.stock.finance.sina.com.cn/q/go.php/vreport_show/kind/strategy/rptid/3745408/index.phtml,新浪财经研报,RSRS斜率标准分择时 N=18 M=600 仅需日频高低价,
LIT031,lit_cn_sources.csv,31,CN,,broker,2026,开源证券：资产配置月报（2026年8月）,https://www.microbell.com/data/e859a866a5284802051257c9b1cffd41.html,https://microbell.com/data/e859a866a5284802051257c9b1cffd41.html,迈博汇金,六维行业轮动框架双周频调仓并给出ETF轮动组合,
LIT032,lit_cn_sources.csv,32,CN,,broker,2024,开源证券：行业轮动3.0：范式模型迭代与ETF轮动应用,https://www.fxbaogao.com/detail/4622942,https://fxbaogao.com/detail/4622942,发现报告,六个子模型最小化排名跟踪误差动态合成 ETF组合年化25.5%,
LIT033,lit_cn_sources.csv,33,CN,,broker,2026,开源证券：开源金股8月（含行业轮动3.0组合）,https://pdf.dfcfw.com/pdf/H3_AP202607281827413644_1.pdf,https://pdf.dfcfw.com/pdf/h3_ap202607281827413644_1.pdf,东方财富PDF,行业轮动3.0月度组合跟踪,
LIT034,lit_cn_sources.csv,34,CN,,broker,2023,兴业证券：分歧和共振：直击行业轮动痛点,http://www.hibor.com.cn/repinfodetail_3205211.html,https://hibor.com.cn/repinfodetail_3205211.html,慧博投研,内生动量+动量溢出+资金流 年化15.39% 月胜率73%,
LIT035,lit_cn_sources.csv,35,CN,,broker,2025,兴业证券：高频系列十一：流动性因子全解析：选股择时与多策略,https://www.hibor.com.cn/data/a21e202196f0b7abb542bd1df839d750.html,https://hibor.com.cn/data/a21e202196f0b7abb542bd1df839d750.html,慧博投研,流动性枯竭作为择时风险信号,
LIT036,lit_cn_sources.csv,36,CN,,broker,2025,兴业证券：三季报等积极因素催化看好科技成长景气主线（择时与行业配置定期）,https://www.microbell.com/repinfodetail_4631518.html,https://microbell.com/repinfodetail_4631518.html,迈博汇金,择时+行业配置定期跟踪,
LIT037,lit_cn_sources.csv,37,CN,,broker,2025,国盛证券：量化点评：如何寻找2025年的领涨行业,https://www.fxbaogao.com/detail/4694758,https://fxbaogao.com/detail/4694758,发现报告,RS相对强弱（20/40/60日排名均值）>90%作领涨信号 景气-趋势-拥挤度框架,
LIT038,lit_cn_sources.csv,38,CN,,broker,2026,太平洋证券：金工ETF点评：宽基ETF周净流出471.54亿 银行有色拥挤变幅较大,https://fxgroup.hibor.com.cn/data/eb9b0b46b80d3b68854cff412822a22f.html,https://fxgroup.hibor.com.cn/data/eb9b0b46b80d3b68854cff412822a22f.html,慧博投研,ETF口径拥挤度日/周频监测样例,
LIT039,lit_cn_sources.csv,39,CN,,broker,2026,太平洋证券：金工ETF点评：行业主题ETF单日净流入131.68亿 有色通信保持高拥挤,https://www.fhyanbao.com/rpview/1727095,https://fhyanbao.com/rpview/1727095,烽火研报,行业主题ETF资金流与拥挤度联动监测,
LIT040,lit_cn_sources.csv,40,CN,,broker,2024,华泰金工：基于ETF资金流构建行业轮动策略,https://www.nxny.com/report/view_5777065.html,https://nxny.com/report/view_5777065.html,nxny研报库,ETF资金流是反向指标 净流出高分位买入 年化20%+,
LIT041,lit_cn_sources.csv,41,CN,,broker,2026,国盛证券：量化点评：行业ETF轮动模型2025年超额9.3%,https://www.fhyanbao.com/rpview/1733205,https://fhyanbao.com/rpview/1733205,烽火研报,行业ETF轮动模型年度业绩跟踪,
LIT042,lit_cn_sources.csv,42,CN,,broker,2024,华泰金工：双目标遗传规划应用于行业轮动,https://www.nxny.com/report/view_5651035.html,https://nxny.com/report/view_5651035.html,nxny研报库,双目标GP直接在行业指数量价上挖因子,
LIT043,lit_cn_sources.csv,43,CN,,broker,2025,华泰金工：遗传规划超额屡创新高：春季量化观点,http://m.hibor.com.cn/wap_detail.aspx?id=a3713b47e713a6d3ca235cf33e30f5c7,https://m.hibor.com.cn/wap_detail.aspx?id=a3713b47e713a6d3ca235cf33e30f5c7,慧博投研,GP行业轮动扣费前年化超额28%,
LIT044,lit_cn_sources.csv,44,CN,,broker,2025,华泰金工：以空间换时间：多目标基本面选股因子挖掘框架,https://wap.hibor.com.cn/repinfodetail_4354948.html,https://wap.hibor.com.cn/repinfodetail_4354948.html,慧博投研,|IC|/胜率/NDCG@k三维目标缓解因子挖掘过拟合,
LIT045,lit_cn_sources.csv,45,CN,,broker,2025,方正证券：行业轮动月报202506,https://www.hibor.com.cn/data/fe32b562970f8961fc52eb9e7f4a1fb6.html,https://hibor.com.cn/data/fe32b562970f8961fc52eb9e7f4a1fb6.html,慧博投研,货币+信用周期+多因素行业轮动 年化超额9.75%,
LIT046,lit_cn_sources.csv,46,CN,,broker,2025,方正证券：行业轮动月报202508,http://dx.microbell.com/data/87968a402e3c9aaa221cb83291918763.html,https://dx.microbell.com/data/87968a402e3c9aaa221cb83291918763.html,迈博汇金,7月组合胜基准3.70%,
LIT047,lit_cn_sources.csv,47,CN,,broker,2025,民生证券：量化大势研判202506：推荐关注预期成长风格,https://www.fhyanbao.com/rpview/1642049,https://fhyanbao.com/rpview/1642049,烽火研报,大势研判+风格轮动月度框架,
LIT048,lit_cn_sources.csv,48,CN,,broker,2025,民生证券：量化周报：维持震荡偏乐观判断,https://www.fhyanbao.com/rpview/1664133,https://fhyanbao.com/rpview/1664133,烽火研报,量化择时周度信号,
LIT049,lit_cn_sources.csv,49,CN,,broker,2025,方正证券：金工周报：多空博弈因子,https://foundersc.com/infoResearchMacro/8660932.jhtml,https://foundersc.com/inforesearchmacro/8660932.jhtml,方正证券官网,11个特色量价因子RankICIR>4,
LIT050,lit_cn_sources.csv,50,CN,,broker,2026,中金公司：2026年量化策略：随“集”应变,https://k.sina.cn/article_7857201856_1d45362c001904mz8m.html,https://k.sina.cn/article_7857201856_1d45362c001904mz8m.html,新浪转载,行业轮动速度=36月滚动排名变化均值 区分共识/分歧行情,
LIT051,lit_cn_sources.csv,51,CN,,broker,2022,中金公司：风格均衡配置继续看好周期行业（行业轮动系列2）,https://www.usmartsecurities.com/zh-cn/news-detail/6895180733703373223,https://usmartsecurities.com/zh-cn/news-detail/6895180733703373223,uSMART转载,多维叠加模型月度行业配置,
LIT052,lit_cn_sources.csv,52,CN,,broker,2022,中金公司：A股或将转为震荡成长优势延续（量化择时）,https://img2.zhitongcaijing.com/content/detail/748805.html,https://img2.zhitongcaijing.com/content/detail/748805.html,智通财经转载,量化择时月度观点,
LIT053,lit_cn_sources.csv,53,CN,,broker,2021,中金公司：股市有望反弹成长阶段性占优,https://m.gelonghui.com/p/560249,https://m.gelonghui.com/p/560249,格隆汇转载,量化择时+风格轮动月度观点,
LIT054,lit_cn_sources.csv,54,CN,,broker,2022,中金公司：短期看好价值消费科技配置价值提升,https://www.usmart.hk/zh-cn/news-detail/6884087230294507856,https://usmart.hk/zh-cn/news-detail/6884087230294507856,uSMART转载,量化行业配置月度观点,
LIT055,lit_cn_sources.csv,55,CN,,broker,2024,泰康红利低波ETF（560150）投价报告：分红和盈利双优稳健投资新选择,https://pdf.dfcfw.com/pdf/H301_AP202411191640954110_1.pdf,https://pdf.dfcfw.com/pdf/h301_ap202411191640954110_1.pdf,东方财富PDF,中证红利低波动指数H30269编制与历史表现分析,
LIT056,lit_cn_sources.csv,56,CN,,broker,2026,华泰金工：大盘或进入高波动状态,https://finance.sina.com.cn/stock/stockzmt/2026-01-20/doc-inhhxeic6242289.shtml,https://finance.sina.com.cn/stock/stockzmt/2026-01-20/doc-inhhxeic6242289.shtml,新浪财经转载,军工高拥挤解除后资金流向高位板块 行业分化度预示大盘高波动,
LIT057,lit_cn_sources.csv,57,CN,,broker,2026,华泰证券：金工量化投资周报：积极参与节后行情,https://wap.hibor.com.cn/repinfodetail_5110073.html,https://wap.hibor.com.cn/repinfodetail_5110073.html,慧博投研,拥挤度分域趋势择时+GP行业轮动周频跟踪,
LIT058,lit_cn_sources.csv,58,CN,,media,2025,证券之星：红利低波，从防御品种到配置之选,https://fund.stockstar.com/IG2025071100025087.shtml,https://fund.stockstar.com/ig2025071100025087.shtml,证券之星,红利低波ETF（512890）近10年跑赢全指的配置逻辑,
LIT059,lit_cn_sources.csv,59,CN,,media,2025,中证网：养老与红利低波投资双向奔赴,https://www.cs.com.cn/tzjj/jjdt/202512/t20251210_6527443.html,https://cs.com.cn/tzjj/jjdt/202512/t20251210_6527443.html,中国证券报,红利低波作为养老长线资金底仓的讨论,
LIT060,lit_cn_sources.csv,60,CN,,media,2025,华泰柏瑞红利低波ETF联接Y半年规模大增超300%,https://api.xch3.com/Home/NewsDetail?newsId=44948,https://api.xch3.com/home/newsdetail?newsid=44948,新财网,个人养老金Y份额资金流入红利低波,
LIT061,lit_cn_sources.csv,61,CN,,media,2026,新浪财经：美国7月CPI出炉 亚洲最大黄金ETF连续20日净流入超百亿,https://finance.sina.com.cn/jjxw/2026-08-13/doc-inincnuu4847601.shtml,https://finance.sina.com.cn/jjxw/2026-08-13/doc-inincnuu4847601.shtml,新浪财经,央行连续21个月购金背景下黄金ETF资金流,
LIT062,lit_cn_sources.csv,62,CN,,media,2026,界面新闻：中国央行连续21个月增持黄金 黄金ETF连续17日净流入,https://www.jiemian.com/article/14892058.html,https://jiemian.com/article/14892058.html,界面新闻,央行购金托底金价的逻辑（华创观点）,
LIT063,lit_cn_sources.csv,63,CN,,media,2026,格隆汇：2026年“下注中国”十大核心资产之黄金ETF（518880）,https://www.gelonghui.com/p/3547509,https://gelonghui.com/p/3547509,格隆汇,2025年国内黄金ETF规模由730亿增至2361亿,
LIT064,lit_cn_sources.csv,64,CN,,media,2025,36氪：一半做风控一半追妖股（指数绝对动量+个股相对动量）,https://36kr.com/p/3882727972876292,https://36kr.com/p/3882727972876292,36氪,250日均线绝对动量过滤+个股相对动量的组合实践,
LIT065,lit_cn_sources.csv,65,CN,,media,n.d.,叩富网：A股市场有什么经典的量化交易策略？双动量策略,https://licai.jiantou8.com/user/guide_view_2578184.html,https://licai.jiantou8.com/user/guide_view_2578184.html,叩富网,300/500相对动量+国债绝对动量的入门示例,
LIT066,lit_cn_sources.csv,66,CN,,media,2024,21经济网：公私募复盘量化危机始末：多重因素致小盘策略失灵,https://www.21jingji.com/article/20240222/932447bdaec165ad2db3f47377cd6e5c.html,https://21jingji.com/article/20240222/932447bdaec165ad2db3f47377cd6e5c.html,21世纪经济报道,2024-02雪球敲入→贴水→DMA强平→微盘踩踏时间线,
LIT067,lit_cn_sources.csv,67,CN,,media,2024,经济观察网：72小时“量化”危机之后,http://m.eeo.com.cn/2024/0224/639051.shtml,https://m.eeo.com.cn/2024/0224/639051.shtml,经济观察网,2024-02量化危机复盘,
LIT068,lit_cn_sources.csv,68,CN,,media,2024,第一财经：头部私募集体暴亏 “量化股灾”后行业再陷反思,https://www.yicai.com/news/101999522.html,https://yicai.com/news/101999522.html,第一财经,期指深贴水是超额崩盘最强信号,
LIT069,lit_cn_sources.csv,69,CN,,media,2024,中国基金报：史诗级量化巨震深度解析,https://www.chnfund.com/article/AR2024022515282476361206,https://chnfund.com/article/ar2024022515282476361206,中国基金报,微盘拥挤+流动性缺失+期指深贴水三因素,
LIT070,lit_cn_sources.csv,70,CN,,media,2024,华尔街见闻：春节前量化基金究竟发生了什么,https://wallstreetcn.com/articles/3708810,https://wallstreetcn.com/articles/3708810,华尔街见闻,国泰君安复盘2024-02量化超额崩塌,
LIT071,lit_cn_sources.csv,71,CN,,media,2023,证券时报：专访开源证券魏建榕：金融工程是赤兔马,https://www.stcn.com/article/detail/770405.html,https://stcn.com/article/detail/770405.html,证券时报,龙头股动量/日内动量为真动量 隔夜动量为伪动量,
LIT072,lit_cn_sources.csv,72,CN,,media,2026,元鼎证券：2026年7月A股复盘：成长估值回落市场风格切换,https://www.163.com/dy/article/L39BVVOT0556K8M1.html,https://163.com/dy/article/l39bvvot0556k8m1.html,网易号,2026-07创业板-23% 科创50-25.9% 拥挤触顶杀估值,
LIT073,lit_cn_sources.csv,73,CN,,media,2026,NBD财经：A股剧烈调整，原因找到了,https://www.nbdnews.com/post/18940.html,https://nbdnews.com/post/18940.html,每经网,交易拥挤+中报验证+负反馈解释2026-07调整,
LIT074,lit_cn_sources.csv,74,CN,,media,2026,21财经：券商解读A股阶段性调整,https://m.21jingji.com/article/20260728/edc02fec0750d0a331cede51efeac6dd.html,https://m.21jingji.com/article/20260728/edc02fec0750d0a331cede51efeac6dd.html,21世纪经济报道,TMT成交占比近50%进入拥挤区间的预警,
LIT075,lit_cn_sources.csv,75,CN,,media,2026,经济观察网：跌停潮之后：重新认识量化市场与监管的边界,http://www.eeo.com.cn/2026/0724/973063.shtml,https://eeo.com.cn/2026/0724/973063.shtml,经济观察网,量化是放大器而非发动机 风控同质化加剧踩踏,
LIT076,lit_cn_sources.csv,76,CN,,media,2026,新浪财经：巨震之后敬畏波动重构认知：7月科技股回调复盘,https://finance.sina.com.cn/money/future/wemedia/2026-07-28/doc-inikkxfx1775161.shtml,https://finance.sina.com.cn/money/future/wemedia/2026-07-28/doc-inikkxfx1775161.shtml,新浪财经,2026-07回调的宏观与微观触发因素,
LIT077,lit_cn_sources.csv,77,CN,,journal,2025,中国资本市场研究网：A股低波红利指数及产品的投资价值与发展趋势,https://www.ccms.org.cn/insights/c/c_20251216_10801846.shtml,https://ccms.org.cn/insights/c/c_20251216_10801846.shtml,中国资本市场研究网,低波红利指数长期风险调整收益优势,
LIT078,lit_cn_sources.csv,78,CN,,journal,2011,Blitz/Huij/Martens: Residual Momentum,https://doi.org/10.1016/j.jempfin.2011.01.003,https://doi.org/10.1016/j.jempfin.2011.01.003,Journal of Empirical Finance,残差动量将动量的风险调整收益提高约一倍,
LIT079,lit_cn_sources.csv,79,CN,,journal,2025,The Many Facets of Stock Momentum: Distinguishing Factor and Stock Components,https://www.tandfonline.com/doi/full/10.1080/0015198X.2025.2562790,https://tandfonline.com/doi/full/10.1080/0015198x.2025.2562790,Financial Analysts Journal,因子动量vs个股残差动量的最新分解证据,
LIT080,lit_cn_sources.csv,80,CN,,journal,2012,Moskowitz/Ooi/Pedersen: Time Series Momentum,https://doi.org/10.1016/j.jfineco.2011.11.003,https://doi.org/10.1016/j.jfineco.2011.11.003,Journal of Financial Economics,58个资产12月时序动量 绝对动量理论基石,
LIT081,lit_cn_sources.csv,81,CN,,journal,2016,Daniel/Moskowitz: Momentum Crashes,https://doi.org/10.1016/j.jfineco.2015.12.002,https://doi.org/10.1016/j.jfineco.2015.12.002,Journal of Financial Economics,恐慌态+市场反弹时动量崩溃 动态动量使alpha翻倍,
LIT082,lit_cn_sources.csv,82,CN,,journal,2018,Momentum effects in China: A review of the literature,https://doi.org/10.1016/j.ribaf.2018.07.003,https://doi.org/10.1016/j.ribaf.2018.07.003,Research in International Business and Finance,A股月频动量弱/反转为主的系统综述,
LIT083,lit_cn_sources.csv,83,CN,,journal,2024,"Nominal Prices, Retail Investor Participation, and Return Momentum",https://doi.org/10.1287/mnsc.2023.01423,https://doi.org/10.1287/mnsc.2023.01423,Management Science,A股整体无月频动量但高价股动量显著 散户促反转,
LIT084,lit_cn_sources.csv,84,CN,,journal,2013,中国A股市场动量效应的特征和形成机理研究,http://dianda.cqvip.com/Qikan/Article/Detail?from=Qikan_Article_Detail&id=48678037,https://dianda.cqvip.com/qikan/article/detail?from=qikan_article_detail&id=48678037,维普期刊,周频2-4周形成/1-3周持有存在动量,
LIT085,lit_cn_sources.csv,85,CN,,journal,2025,过度反应、跳跃收益与A股动量策略,https://www.zgglkx.com/CN/Y2025/V33/I6/1,https://zgglkx.com/cn/y2025/v33/i6/1,中国管理科学,剥离跳跃收益后A股月度动量显著,
LIT086,lit_cn_sources.csv,86,CN,,journal,n.d.,清华五道口：中国股市月频动量消失之谜,https://www.pbcsf.tsinghua.edu.cn/__local/F/D5/7A/66259A0664B091F2A94F23D78AD_C6E23DF5_21B1EF.pdf?e=.pdf,https://pbcsf.tsinghua.edu.cn/__local/f/d5/7a/66259a0664b091f2a94f23d78ad_c6e23df5_21b1ef.pdf?e=.pdf,清华五道口工作论文,T+1制度下隔夜反转吞噬日内动量,
LIT087,lit_cn_sources.csv,87,CN,,journal,2022,Lou/Polk: Comomentum: Inferring Arbitrage Activity from Return Correlations,https://doi.org/10.1093/rfs/hhab117,https://doi.org/10.1093/rfs/hhab117,Review of Financial Studies,动量股残差收益相关性度量拥挤 高comomentum预示动量崩溃,
LIT088,lit_cn_sources.csv,88,CN,,journal,2015,Barroso/Santa-Clara: Momentum Has Its Moments,https://doi.org/10.1016/j.jfineco.2014.11.010,https://doi.org/10.1016/j.jfineco.2014.11.010,Journal of Financial Economics,6个月已实现波动率缩放动量 Sharpe 0.53→0.97,
LIT089,lit_cn_sources.csv,89,CN,,journal,2017,Moreira/Muir: Volatility-Managed Portfolios,https://doi.org/10.1111/jofi.12513,https://doi.org/10.1111/jofi.12513,Journal of Finance,波动率倒数缩放提升多因子alpha,
LIT090,lit_cn_sources.csv,90,CN,,journal,2019,Liu/Stambaugh/Yuan: Size and Value in China,https://doi.org/10.1016/j.jfineco.2019.03.008,https://doi.org/10.1016/j.jfineco.2019.03.008,Journal of Financial Economics,CH-3因子 剔除最小30%壳股 EP做价值,
LIT091,lit_cn_sources.csv,91,CN,,arxiv,2026,QuantaAlpha: An Evolutionary Framework for LLM-Driven Alpha Mining,https://arxiv.org/abs/2602.07085,https://arxiv.org/abs/2602.07085,arXiv,轨迹级进化LLM挖因子 CSI300 IC 0.1501（东方证券复现指出数据泄露）,
LIT092,lit_cn_sources.csv,92,CN,,arxiv,2023,AlphaGen: Generating Synergistic Formulaic Alpha Collections via Reinforcement Learning,https://arxiv.org/abs/2306.12964,https://arxiv.org/abs/2306.12964,arXiv (KDD 2023),PPO直接优化因子集合协同效果,
LIT093,lit_cn_sources.csv,93,CN,,arxiv,2024,QuantFactor REINFORCE: Mining Steady Formulaic Alpha Factors,https://arxiv.org/pdf/2409.05144,https://arxiv.org/pdf/2409.05144,arXiv,以IR为reward shaping挖稳定公式因子,
LIT094,lit_cn_sources.csv,94,CN,,arxiv,2024,AlphaForge: A Framework to Mine and Dynamically Combine Formulaic Alpha Factors,https://arxiv.org/pdf/2406.18394,https://arxiv.org/pdf/2406.18394,arXiv (AAAI 2025),生成-预测网络挖因子+动态权重组合,
LIT095,lit_cn_sources.csv,95,CN,,arxiv,2026,EVOQUANT: Self-Evolving Verifier-Guided Strategy Optimization for Robust Quantitative Trading,https://arxiv.org/html/2607.12455v1,https://arxiv.org/html/2607.12455v1,arXiv (HKUST-GZ),受限程序进化+多级验证门 OOS感知晋级 防过拟合,
LIT096,lit_cn_sources.csv,96,CN,,ssrn,2012,Antonacci: Risk Premia Harvesting Through Dual Momentum,https://ssrn.com/abstract=2042750,https://ssrn.com/abstract=2042750,SSRN,绝对动量降波动回撤 相对动量增收益 双动量框架原文,
